Sıra,Tarih,Grup Kodu,Grup Adı,Tekrar,Gd (ppm),BR (M),Başlangıç Azolla (g),Net Hasat Ağırlığı (g),Klorofil Numune Ağırlığı (g),Abs470,Abs646,Abs663,Klorofil a,Klorofil b,Toplam Klorofil,Karotenoid,Mutlak Büyüme (g),Büyüme Katsayısı (Son/İlk),Büyüme (%),RGR (g g⁻¹ gün⁻¹)
2,2026-04-28,K,Kontrol / IRRI2 + su,2,0.0,Yok,3.000,6.780,0.200,0.292,0.137,0.291,0.158,0.065,0.223,0.032,3.78,2.26,126.0,0.1165
6,2026-04-28,Gd,IRRI2 + 7.5 ppm Gd,1,7.5,Yok,3.000,7.220,0.220,0.263,0.105,0.273,0.138,0.033,0.171,0.035,4.22,2.41,140.7,0.1255
11,2026-04-28,Gd+BR10^-7,IRRI2 + 7.5 ppm Gd + BR 10^-7 M,1,7.5,10^-7,3.010,7.220,0.200,0.270,0.112,0.291,0.162,0.040,0.202,0.038,4.21,2.40,139.9,0.1250
16,2026-04-28,Gd+BR10^-8,IRRI2 + 7.5 ppm Gd + BR 10^-8 M,1,7.5,10^-8,3.010,7.660,0.210,0.300,0.133,0.324,0.171,0.050,0.220,0.037,4.65,2.54,154.5,0.1334
21,2026-04-28,Gd+BR10^-9,IRRI2 + 7.5 ppm Gd + BR 10^-9 M,1,7.5,10^-9,3.010,7.630,0.220,0.262,0.101,0.268,0.136,0.031,0.167,0.036,4.62,2.53,153.5,0.1329
26,2026-04-28,BR10^-7,IRRI2 + BR 10^-7 M,1,0.0,10^-7,3.000,7.580,0.200,0.268,0.106,0.285,0.159,0.035,0.195,0.040,4.58,2.53,152.7,0.1324
31,2026-04-28,BR10^-8,IRRI2 + BR 10^-8 M,1,0.0,10^-8,3.010,7.370,0.200,0.133,0.058,0.144,0.080,0.022,0.102,0.018,4.36,2.45,144.9,0.1279
36,2026-04-28,BR10^-9,IRRI2 + BR 10^-9 M,1,0.0,10^-9,3.010,8.360,0.220,0.275,0.115,0.309,0.157,0.035,0.192,0.036,5.35,2.78,177.7,0.1459
